Starting Training Loop...
Epoch [1/20] Loss: 2.9280066339561476e-05
Epoch [1/20] Loss: 5.766446746306862e-05
Epoch [1/20] Loss: 8.472915567029373e-05
Epoch [1/20] Loss: 0.00010835573274879914
Epoch [1/20] Loss: 0.00013227673954626314
Epoch [1/20] Loss: 0.00015219706460711178
Epoch [1/20] Loss: 0.0001693297617622214
Epoch [1/20] Loss: 0.00018552714865831206
Epoch [1/20] Loss: 0.00020136353656866095
Epoch [1/20] Loss: 0.00021965702641484712
Epoch [1/20] Loss: 0.0002352587669259449
Epoch [1/20] Loss: 0.00024890898363882425
Epoch [1/20] Loss: 0.000263218357876668
Epoch [1/20] Loss: 0.000275481957059756
Epoch [1/20] Loss: 0.0002890906190183143
Epoch [1/20] Loss: 0.00030164731124007694
Epoch [1/20] Loss: 0.0003135985908388564
Epoch [1/20] Loss: 0.00032890832789397585
Epoch [1/20] Loss: 0.00034204551706529463
Epoch [1/20] Loss: 0.0003535301163933809
Epoch [1/20] Loss: 0.0003673869243394101
Epoch [1/20] Loss: 0.00038122812630779295
Epoch [1/20] Loss: 0.00039355687453486237
Epoch [1/20] Loss: 0.00040552423665663595
Epoch [1/20] Loss: 0.0004214529684654761
Epoch [1/20] Loss: 0.0004371829596845244
Epoch [1/20] Loss: 0.00045014822188428285
Epoch [1/20] Loss: 0.0004639691924435085
Epoch [1/20] Loss: 0.0004763351500373209
Epoch [1/20] Loss: 0.00048722727406612316
Epoch [1/20] Loss: 0.0004984875040779517
Epoch [1/20] Loss: 0.0005102189091832594
Epoch [1/20] Loss: 0.0005219313948499351
Epoch [1/20] Loss: 0.0005330255211566869
Epoch [1/20] Loss: 0.0005438163645909094
Epoch [1/20] Loss: 0.0005572920021514537
Epoch [1/20] Loss: 0.0005716133806254393
Epoch [1/20] Loss: 0.0005833116417076492
Epoch [1/20] Loss: 0.0005957526087158478
Epoch [1/20] Loss: 0.000605995688570954
Epoch [1/20] Loss: 0.0006167012033248655
Epoch [1/20] Loss: 0.0006274482904829259
Epoch [1/20] Loss: 0.0006373604184189554
Epoch [1/20] Loss: 0.0006460272827652234
Epoch [1/20] Loss: 0.000655852950666987
Epoch [1/20] Loss: 0.0006658283167589863
Epoch [1/20] Loss: 0.0006747418768652165
Epoch [1/20] Loss: 0.0006853342797567177
Epoch [1/20] Loss: 0.0006954446740905017
Epoch [1/20] Loss: 0.0007058460376003613
Epoch [1/20] Loss: 0.0007165649803431819
Epoch [1/20] Loss: 0.0007281381629798056
Epoch [1/20] Loss: 0.0007394581506015828
Epoch [1/20] Loss: 0.0007495297329642693
Epoch [1/20] Loss: 0.0007592183646621842
Epoch [1/20] Loss: 0.0007693137601723945
Epoch [1/20] Loss: 0.0007806938960536401
Epoch [1/20] Loss: 0.0007911225461971135
Epoch [1/20] Loss: 0.0008003737451538058
Epoch [1/20] Loss: 0.0008092811319386365
Epoch [1/20] Loss: 0.0008182437332677675
Epoch [1/20] Loss: 0.0008271213889178489
Epoch [1/20] Loss: 0.0008375767208941737
Epoch [1/20] Loss: 0.0008475790406263711
Epoch [1/20] Loss: 0.0008563755823749947
Epoch [1/20] Loss: 0.0008656362998837621
Epoch [1/20] Loss: 0.0008742285178137669
Epoch [1/20] Loss: 0.0008839281947738523
Epoch [1/20] Loss: 0.0008941885879332704
Epoch [1/20] Loss: 0.0009041305605512741
Epoch [1/20] Loss: 0.0009128870436626376
Epoch [1/20] Loss: 0.0009221629882660834
Epoch [1/20] Loss: 0.0009320242029208213
Epoch [1/20] Loss: 0.0009413553626568951
Epoch [1/20] Loss: 0.0009504237688197716
Epoch [1/20] Loss: 0.0009599693969070949
Epoch [1/20] Loss: 0.0009694926873724896
