[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[1/10][1150/1272]	Loss_D: 0.6564	Loss_G: 4.3567	D(x): 0.8750	D(G(z)): 0.3459 / 0.0225
[1/10][1200/1272]	Loss_D: 0.4828	Loss_G: 3.6615	D(x): 0.8489	D(G(z)): 0.2257 / 0.0390
[1/10][1250/1272]	Loss_D: 0.3986	Loss_G: 2.8700	D(x): 0.8102	D(G(z)): 0.1400 / 0.0764
[2/10][0/1272]	Loss_D: 0.7402	Loss_G: 2.4710	D(x): 0.7165	D(G(z)): 0.2376 / 0.1223
[2/10][50/1272]	Loss_D: 0.4743	Loss_G: 3.6646	D(x): 0.8206	D(G(z)): 0.2120 / 0.0352
[2/10][100/1272]	Loss_D: 0.6751	Loss_G: 4.2383	D(x): 0.8519	D(G(z)): 0.3565 / 0.0239
[2/10][150/1272]	Loss_D: 0.7319	Loss_G: 4.6388	D(x): 0.8922	D(G(z)): 0.4043 / 0.0171
[2/10][200/1272]	Loss_D: 1.0603	Loss_G: 6.0654	D(x): 0.9228	D(G(z)): 0.5699 / 0.0045
[2/10][250/1272]	Loss_D: 0.7226	Loss_G: 4.2298	D(x): 0.8554	D(G(z)): 0.3595 / 0.0230
[2/10][300/1272]	Loss_D: 0.3495	Loss_G: 3.4086	D(x): 0.8718	D(G(z)): 0.1653 / 0.0506
[2/10][350/1272]	Loss_D: 0.4475	Loss_G: 2.5636	D(x): 0.8566	D(G(z)): 0.2178 / 0.1084
[2/10][400/1272]	Loss_D: 0.5492	Loss_G: 3.8487	D(x): 0.8892	D(G(z)): 0.3065 / 0.0343
[2/10][450/1272]	Loss_D: 0.6630	Loss_G: 3.3232	D(x): 0.7774	D(G(z)): 0.2800 / 0.0528
[2/10][500/1272]	Loss_D: 1.4453	Loss_G: 4.7873	D(x): 0.9237	D(G(z)): 0.6580 / 0.0171
[2/10][550/1272]	Loss_D: 0.3856	Loss_G: 2.8094	D(x): 0.8917	D(G(z)): 0.2149 / 0.0783
[2/10][600/1272]	Loss_D: 0.8161	Loss_G: 3.6612	D(x): 0.8886	D(G(z)): 0.4370 / 0.0420
[2/10][650/1272]	Loss_D: 0.6561	Loss_G: 3.4493	D(x): 0.9030	D(G(z)): 0.3783 / 0.0450
[2/10][700/1272]	Loss_D: 1.3090	Loss_G: 0.9966	D(x): 0.3577	D(G(z)): 0.0243 / 0.4325
[2/10][750/1272]	Loss_D: 0.5546	Loss_G: 1.2262	D(x): 0.6627	D(G(z)): 0.0841 / 0.3508
[2/10][800/1272]	Loss_D: 0.4402	Loss_G: 2.6675	D(x): 0.7270	D(G(z)): 0.0764 / 0.0968
[2/10][850/1272]	Loss_D: 0.6168	Loss_G: 1.9700	D(x): 0.7667	D(G(z)): 0.2441 / 0.1806
[2/10][900/1272]	Loss_D: 0.7481	Loss_G: 1.8679	D(x): 0.5519	D(G(z)): 0.0497 / 0.1971
[2/10][950/1272]	Loss_D: 0.5905	Loss_G: 2.0082	D(x): 0.7077	D(G(z)): 0.1680 / 0.1747
[2/10][1000/1272]	Loss_D: 0.7925	Loss_G: 3.8408	D(x): 0.9430	D(G(z)): 0.4752 / 0.0308
[2/10][1050/1272]	Loss_D: 0.4572	Loss_G: 3.4718	D(x): 0.8926	D(G(z)): 0.2604 / 0.0426
[2/10][1100/1272]	Loss_D: 0.7499	Loss_G: 1.4389	D(x): 0.5458	D(G(z)): 0.0682 / 0.2842
[2/10][1150/1272]	Loss_D: 0.6144	Loss_G: 4.0319	D(x): 0.9015	D(G(z)): 0.3571 / 0.0250
[2/10][1200/1272]	Loss_D: 1.0031	Loss_G: 1.1882	D(x): 0.4517	D(G(z)): 0.0421 / 0.3624
[2/10][1250/1272]	Loss_D: 0.7009	Loss_G: 1.2928	D(x): 0.5920	D(G(z)): 0.0883 / 0.3244
[3/10][0/1272]	Loss_D: 0.4793	Loss_G: 2.8066	D(x): 0.7394	D(G(z)): 0.1218 / 0.0852
[3/10][50/1272]	Loss_D: 0.7099	Loss_G: 3.3440	D(x): 0.8459	D(G(z)): 0.3794 / 0.0492
[3/10][100/1272]	Loss_D: 0.4891	Loss_G: 2.9243	D(x): 0.8851	D(G(z)): 0.2759 / 0.0730
