Length of men_no_glasses_loader: 2312
Length of men with glasses loader: 328
Length of women with glasses loader: 85
Finished initialising datasets and dataloaders
Epoch [78/300], Loss_G: 3.1378586292266846, Loss_D: 0.0006353255594149232
Epoch [79/300], Loss_G: 3.0969302654266357, Loss_D: 0.0029274390544742346
Epoch [80/300], Loss_G: 3.049722194671631, Loss_D: 0.0008478209492750466
Epoch [81/300], Loss_G: 2.9903969764709473, Loss_D: 0.00048354221507906914
Epoch [82/300], Loss_G: 3.0301566123962402, Loss_D: 0.0007527123671025038
Epoch [83/300], Loss_G: 3.1726813316345215, Loss_D: 0.0024372143670916557
Epoch [84/300], Loss_G: 2.8778159618377686, Loss_D: 0.011145323514938354
Epoch [85/300], Loss_G: 3.164172887802124, Loss_D: 0.0008894518250599504
Epoch [86/300], Loss_G: 3.0719261169433594, Loss_D: 0.003076029010117054
Epoch [87/300], Loss_G: 3.0895237922668457, Loss_D: 0.0021392707712948322
Epoch [88/300], Loss_G: 3.045489549636841, Loss_D: 0.0017185447504743934
Epoch [89/300], Loss_G: 3.2204506397247314, Loss_D: 0.004888528026640415
Epoch [90/300], Loss_G: 3.030038356781006, Loss_D: 0.004719438496977091
Epoch [91/300], Loss_G: 3.027395248413086, Loss_D: 0.002902371110394597
Epoch [92/300], Loss_G: 2.9991698265075684, Loss_D: 0.0030736406333744526
Epoch [93/300], Loss_G: 3.1561670303344727, Loss_D: 0.010820019990205765
Epoch [94/300], Loss_G: 3.1945712566375732, Loss_D: 0.01877853088080883
Epoch [95/300], Loss_G: 3.143050193786621, Loss_D: 0.05136801302433014
Epoch [96/300], Loss_G: 3.0888795852661133, Loss_D: 0.0002587174531072378
Epoch [97/300], Loss_G: 3.0323634147644043, Loss_D: 0.00019293668447062373
Epoch [98/300], Loss_G: 3.1529417037963867, Loss_D: 0.0015961199533194304
Epoch [99/300], Loss_G: 3.1311986446380615, Loss_D: 0.00017692885012365878
Epoch [100/300], Loss_G: 3.0469810962677, Loss_D: 0.0006789993494749069
Epoch [101/300], Loss_G: 3.013822317123413, Loss_D: 0.0031837327405810356
Epoch [102/300], Loss_G: 2.9833908081054688, Loss_D: 0.004706091247498989
Epoch [103/300], Loss_G: 3.0144095420837402, Loss_D: 0.006373022682964802
Epoch [104/300], Loss_G: 3.0178256034851074, Loss_D: 0.001958879642188549
Epoch [105/300], Loss_G: 3.195892333984375, Loss_D: 0.005529849790036678
Epoch [106/300], Loss_G: 2.985147476196289, Loss_D: 0.00180949573405087
Epoch [107/300], Loss_G: 2.945166826248169, Loss_D: 0.0011168979108333588
Epoch [108/300], Loss_G: 2.928622245788574, Loss_D: 0.015681419521570206
Epoch [109/300], Loss_G: 3.1079602241516113, Loss_D: 0.001663767732679844
Epoch [110/300], Loss_G: 3.0530402660369873, Loss_D: 0.0011417334899306297
Epoch [111/300], Loss_G: 2.97764253616333, Loss_D: 0.005641433410346508
Epoch [112/300], Loss_G: 2.9949965476989746, Loss_D: 0.000360016681952402
Epoch [113/300], Loss_G: 3.070127487182617, Loss_D: 0.0020670024678111076
Epoch [114/300], Loss_G: 2.994957685470581, Loss_D: 0.00022715498926118016
Epoch [115/300], Loss_G: 2.9568662643432617, Loss_D: 0.0007540031219832599
Epoch [116/300], Loss_G: 3.004300594329834, Loss_D: 0.00015019779675640166
Epoch [117/300], Loss_G: 3.0025243759155273, Loss_D: 0.0012219003401696682
Epoch [118/300], Loss_G: 3.003127098083496, Loss_D: 0.0019489792175590992
Epoch [119/300], Loss_G: 2.9523093700408936, Loss_D: 0.000456402194686234
Epoch [120/300], Loss_G: 3.0549988746643066, Loss_D: 0.005481160245835781
Epoch [121/300], Loss_G: 3.0183677673339844, Loss_D: 0.006177455186843872
Epoch [122/300], Loss_G: 3.012078285217285, Loss_D: 0.0006711690803058445
Epoch [123/300], Loss_G: 3.014004945755005, Loss_D: 0.0009836870012804866
Epoch [124/300], Loss_G: 3.0316619873046875, Loss_D: 0.0002881664549931884
Epoch [125/300], Loss_G: 3.078693389892578, Loss_D: 0.0033424985595047474
Epoch [126/300], Loss_G: 2.9707717895507812, Loss_D: 0.0023196637630462646
Epoch [127/300], Loss_G: 2.963141441345215, Loss_D: 0.0002685697400011122
Epoch [128/300], Loss_G: 2.979179620742798, Loss_D: 0.0010869033867493272
Epoch [129/300], Loss_G: 3.0370211601257324, Loss_D: 0.0002880711108446121
Epoch [130/300], Loss_G: 2.8807034492492676, Loss_D: 0.0030472122598439455
Epoch [131/300], Loss_G: 2.985273838043213, Loss_D: 0.012055521830916405
Epoch [132/300], Loss_G: 3.0326290130615234, Loss_D: 0.007862783037126064
Epoch [133/300], Loss_G: 2.978858709335327, Loss_D: 0.00022268600878305733
Epoch [134/300], Loss_G: 2.983928680419922, Loss_D: 0.002903917571529746
Epoch [135/300], Loss_G: 3.0199685096740723, Loss_D: 0.0007714667590335011
Epoch [136/300], Loss_G: 2.9600462913513184, Loss_D: 0.009854663163423538
Epoch [137/300], Loss_G: 2.936292886734009, Loss_D: 0.0007533348398283124
Epoch [138/300], Loss_G: 3.0064187049865723, Loss_D: 0.007019728422164917
Epoch [139/300], Loss_G: 2.931133270263672, Loss_D: 0.005603996105492115
Epoch [140/300], Loss_G: 3.0037896633148193, Loss_D: 0.00313479988835752
Epoch [141/300], Loss_G: 2.9937262535095215, Loss_D: 0.0002949627232737839
Epoch [142/300], Loss_G: 2.9698610305786133, Loss_D: 0.004175844602286816
Epoch [143/300], Loss_G: 2.9575390815734863, Loss_D: 0.001567527069710195
Epoch [144/300], Loss_G: 2.930734634399414, Loss_D: 0.000484060263261199
Epoch [145/300], Loss_G: 2.954545497894287, Loss_D: 0.0015526206698268652
Epoch [146/300], Loss_G: 2.9718546867370605, Loss_D: 0.0018420449923723936
Epoch [147/300], Loss_G: 2.8579704761505127, Loss_D: 0.002511974424123764
Epoch [148/300], Loss_G: 3.0378265380859375, Loss_D: 0.0014516410883516073
Epoch [149/300], Loss_G: 2.904783248901367, Loss_D: 0.001049834885634482
Epoch [150/300], Loss_G: 2.8943190574645996, Loss_D: 0.00011271750554442406
Epoch [151/300], Loss_G: 2.9307730197906494, Loss_D: 0.0010036503663286567
Epoch [152/300], Loss_G: 3.0452330112457275, Loss_D: 0.002974687609821558
Epoch [153/300], Loss_G: 2.9573848247528076, Loss_D: 0.0007993096951395273
Epoch [154/300], Loss_G: 2.9328742027282715, Loss_D: 0.00020958854292985052
Epoch [155/300], Loss_G: 2.8163042068481445, Loss_D: 0.004554204177111387
Epoch [156/300], Loss_G: 2.9470481872558594, Loss_D: 9.084002522286028e-05
Epoch [157/300], Loss_G: 2.974034070968628, Loss_D: 0.00943812821060419
Epoch [158/300], Loss_G: 2.995436668395996, Loss_D: 0.0011650383239611983
Epoch [159/300], Loss_G: 2.916658878326416, Loss_D: 0.000928509165532887
Epoch [160/300], Loss_G: 2.8654284477233887, Loss_D: 0.004627803806215525
Epoch [161/300], Loss_G: 2.8977136611938477, Loss_D: 0.0005026895669288933
Epoch [162/300], Loss_G: 3.047334671020508, Loss_D: 0.0009440616122446954
Epoch [163/300], Loss_G: 2.951549530029297, Loss_D: 0.0016609777230769396
Epoch [164/300], Loss_G: 2.9079625606536865, Loss_D: 0.0003371024504303932
Epoch [165/300], Loss_G: 2.8657238483428955, Loss_D: 0.004007705952972174
Epoch [166/300], Loss_G: 2.8537349700927734, Loss_D: 0.0021435862872749567
Epoch [167/300], Loss_G: 2.8815908432006836, Loss_D: 0.00013256605598144233
Epoch [168/300], Loss_G: 2.9799575805664062, Loss_D: 0.0006136976298876107
Epoch [169/300], Loss_G: 2.9007792472839355, Loss_D: 0.00014421346713788807
Epoch [170/300], Loss_G: 2.9466171264648438, Loss_D: 0.002090521389618516
Epoch [171/300], Loss_G: 2.947171926498413, Loss_D: 0.0002637399302329868
Epoch [172/300], Loss_G: 2.922247886657715, Loss_D: 0.00031538144685328007
Epoch [173/300], Loss_G: 2.9156064987182617, Loss_D: 0.001969227334484458
Epoch [174/300], Loss_G: 2.8739705085754395, Loss_D: 7.719313725829124e-05
Epoch [175/300], Loss_G: 2.910029172897339, Loss_D: 0.0005603060126304626
Epoch [176/300], Loss_G: 2.9280967712402344, Loss_D: 0.0007229997427202761
Epoch [177/300], Loss_G: 3.013153076171875, Loss_D: 0.019282817840576172
Epoch [178/300], Loss_G: 3.0083870887756348, Loss_D: 0.00861494243144989
Epoch [179/300], Loss_G: 2.8954334259033203, Loss_D: 0.004414974246174097
Epoch [180/300], Loss_G: 3.0521399974823, Loss_D: 0.016896748915314674
Epoch [181/300], Loss_G: 2.912780284881592, Loss_D: 0.0010761951562017202
Epoch [182/300], Loss_G: 2.9125893115997314, Loss_D: 0.0005357827758416533
Epoch [183/300], Loss_G: 2.9011454582214355, Loss_D: 0.0020588261540979147
Epoch [184/300], Loss_G: 2.868216037750244, Loss_D: 0.004696965217590332
Epoch [185/300], Loss_G: 2.9587562084198, Loss_D: 8.827311830827966e-05
Epoch [186/300], Loss_G: 2.8951094150543213, Loss_D: 0.0005494332872331142
Epoch [187/300], Loss_G: 2.8755862712860107, Loss_D: 0.0005387435667216778
Epoch [188/300], Loss_G: 2.8105127811431885, Loss_D: 0.002725292230024934
Epoch [189/300], Loss_G: 2.9646143913269043, Loss_D: 0.0017421918455511332
Epoch [190/300], Loss_G: 3.028587818145752, Loss_D: 0.0022453905548900366
