Training with latent size: 2
Mean: -0.12574048340320587, Log Var: -5.04563570022583
Mean: -0.12117360532283783, Log Var: -5.030221939086914
Mean: -0.04422816261649132, Log Var: -5.140347957611084
Mean: -0.03775222599506378, Log Var: -5.131235122680664
Mean: -0.1426575481891632, Log Var: -5.027289390563965
Mean: -0.0986684188246727, Log Var: -5.053586959838867
Mean: -0.03158731013536453, Log Var: -5.200963020324707
Mean: -0.0599963404238224, Log Var: -5.107626914978027
Mean: -0.0470382496714592, Log Var: -5.079518795013428
Mean: -0.07725056260824203, Log Var: -5.0535149574279785
Mean: -0.13865217566490173, Log Var: -5.025574207305908
Mean: -0.12205608189105988, Log Var: -5.057633399963379
Mean: 0.0004853391437791288, Log Var: -5.053579807281494
Mean: -0.07456260174512863, Log Var: -5.07828950881958
Mean: -0.080240897834301, Log Var: -5.255257606506348
Mean: -0.10694093257188797, Log Var: -5.102901458740234
Mean: -0.024204391986131668, Log Var: -5.055590629577637
Mean: -0.07776622474193573, Log Var: -5.100218772888184
Mean: -0.09230375289916992, Log Var: -5.180583953857422
Mean: -0.07526125013828278, Log Var: -5.055459976196289
Mean: -0.08640678226947784, Log Var: -5.142192363739014
Mean: -0.02296188473701477, Log Var: -5.0831451416015625
Mean: -0.12029870599508286, Log Var: -5.133817195892334
Mean: -0.06275124847888947, Log Var: -5.099684238433838
Mean: -0.08441145718097687, Log Var: -4.954878330230713
Mean: -0.10160103440284729, Log Var: -4.945932388305664
Mean: -0.08299791067838669, Log Var: -5.145076751708984
Mean: -0.08991691470146179, Log Var: -4.996970176696777
Mean: -0.016948165372014046, Log Var: -4.926516532897949
Mean: -0.12574729323387146, Log Var: -5.110959529876709
Mean: 0.02106405235826969, Log Var: -5.016825199127197
Mean: -0.1391482800245285, Log Var: -5.170388698577881
Mean: -0.0702638253569603, Log Var: -4.9865827560424805
Mean: -0.15775179862976074, Log Var: -4.993265151977539
Mean: 0.013161515817046165, Log Var: -5.118960380554199
Mean: -0.009431282989680767, Log Var: -5.032957553863525
Mean: -0.10819051414728165, Log Var: -5.036153793334961
Mean: 0.19340366125106812, Log Var: -5.143917560577393
Mean: 0.17554521560668945, Log Var: -5.051788806915283
Mean: 0.0938960611820221, Log Var: -5.067385196685791
Mean: 0.06110486388206482, Log Var: -5.193525314331055
Mean: 0.052094750106334686, Log Var: -5.058996677398682
Mean: -0.03766023367643356, Log Var: -5.147273063659668
Mean: -0.05581633746623993, Log Var: -5.130251884460449
Mean: 0.03530317544937134, Log Var: -5.082714557647705
Mean: -0.01692095957696438, Log Var: -5.158618450164795
Mean: -0.39164939522743225, Log Var: -5.045459747314453
Mean: -0.25995978713035583, Log Var: -4.9263834953308105
Mean: 0.0467892587184906, Log Var: -4.9348039627075195
Mean: 0.10635383427143097, Log Var: -5.141135215759277
Mean: -0.08921054750680923, Log Var: -5.2076287269592285
Mean: 0.20718401670455933, Log Var: -5.17442512512207
Mean: 0.05978364497423172, Log Var: -5.08914041519165
Mean: 0.19936411082744598, Log Var: -5.026081562042236
Mean: 0.2631615698337555, Log Var: -4.962045192718506
Mean: -0.1249900609254837, Log Var: -5.25990629196167
Mean: 0.13828852772712708, Log Var: -5.267359733581543
Mean: 0.21408714354038239, Log Var: -5.181713581085205
Mean: 0.2196383774280548, Log Var: -5.101626873016357
Mean: 0.2567465305328369, Log Var: -4.939047336578369
Mean: 0.2920539379119873, Log Var: -5.150158405303955
Mean: 0.2920641005039215, Log Var: -5.096678256988525
Mean: 0.30935901403427124, Log Var: -5.096172332763672
Mean: -0.10312005877494812, Log Var: -5.219325542449951
Mean: 0.07988715171813965, Log Var: -5.1416521072387695
Mean: 0.20997005701065063, Log Var: -4.947314262390137
Mean: 0.27346664667129517, Log Var: -5.075051307678223
Mean: 0.17161504924297333, Log Var: -5.091428756713867
Mean: 0.177482470870018, Log Var: -5.0005035400390625
Mean: 0.23312656581401825, Log Var: -4.905101299285889
Mean: 0.060698412358760834, Log Var: -4.967346668243408
Mean: -0.035420384258031845, Log Var: -5.014804363250732
Mean: -0.15400545299053192, Log Var: -4.986340522766113
Mean: -0.01217474415898323, Log Var: -5.095180988311768
Mean: 0.07926888018846512, Log Var: -5.215157508850098
Mean: 0.2056976705789566, Log Var: -5.231814384460449
Mean: 0.3222421109676361, Log Var: -4.973901271820068
Mean: 0.010730881243944168, Log Var: -4.95332145690918
Mean: 0.017350254580378532, Log Var: -5.003859043121338
Mean: 0.26636913418769836, Log Var: -4.952115058898926
Mean: -0.1875947117805481, Log Var: -5.13215446472168
Mean: -0.11435457319021225, Log Var: -5.058938503265381
Mean: 0.24334345757961273, Log Var: -5.037276268005371
Mean: 0.338998019695282, Log Var: -4.834336280822754
Mean: 0.3247397541999817, Log Var: -5.104952812194824
Mean: 0.2966465353965759, Log Var: -5.23398494720459
Mean: 0.24466674029827118, Log Var: -5.0282182693481445
Training with latent size: 8
Mean: -0.04667188227176666, Log Var: -3.9766845703125
Mean: -0.12551453709602356, Log Var: -3.96335506439209
Mean: -0.12298864126205444, Log Var: -3.97212815284729
Mean: -0.14146465063095093, Log Var: -3.92671799659729
Mean: -0.06813700497150421, Log Var: -3.9885990619659424
Mean: -0.07132228463888168, Log Var: -4.048572063446045
Mean: -0.11187917739152908, Log Var: -4.024744033813477
Mean: -0.1221187561750412, Log Var: -3.981667995452881
Mean: -0.087617889046669, Log Var: -3.972014904022217
Mean: -0.11961372941732407, Log Var: -3.9106359481811523
Mean: -0.07436268031597137, Log Var: -3.934952974319458
Mean: -0.08221664279699326, Log Var: -3.995060443878174
Mean: -0.12200134247541428, Log Var: -3.9691905975341797
Mean: -0.16777034103870392, Log Var: -3.929917812347412
Mean: -0.07023352384567261, Log Var: -4.032613754272461
Mean: -0.08887235075235367, Log Var: -3.9731853008270264
Mean: -0.08149334788322449, Log Var: -3.9896857738494873
Mean: -0.037385400384664536, Log Var: -3.97171688079834
Mean: -0.12093214690685272, Log Var: -3.9563167095184326
Mean: -0.09946378320455551, Log Var: -3.914283275604248
Mean: -0.06335683912038803, Log Var: -4.000277042388916
Mean: -0.09372902661561966, Log Var: -4.06505823135376
Mean: -0.10679805278778076, Log Var: -3.9543957710266113
Mean: -0.11467733979225159, Log Var: -3.955530881881714
Mean: -0.14485539495944977, Log Var: -3.9752721786499023
Mean: 0.014285006560385227, Log Var: -3.9694416522979736
Mean: -0.0891047865152359, Log Var: -3.993809223175049
Mean: -0.09570597112178802, Log Var: -3.993925094604492
Mean: -0.0890936627984047, Log Var: -3.9921536445617676
Mean: -0.08996450155973434, Log Var: -3.9383909702301025
Mean: -0.046890225261449814, Log Var: -3.9712743759155273
Mean: -0.10264398157596588, Log Var: -4.011669635772705
Mean: -0.11414619535207748, Log Var: -3.953934907913208
Mean: -0.09836974740028381, Log Var: -4.001091957092285
Mean: -0.0530942864716053, Log Var: -3.969776153564453
Mean: -0.10660074651241302, Log Var: -4.044589042663574
Mean: -0.09416942298412323, Log Var: -3.918912887573242
Mean: -0.05839850753545761, Log Var: -3.988554000854492
Mean: -0.013037080876529217, Log Var: -4.098030090332031
Mean: -0.06606800854206085, Log Var: -4.014176845550537
Mean: -0.05914308503270149, Log Var: -3.936065912246704
Mean: -0.11033031344413757, Log Var: -3.9002904891967773
Mean: -0.09301839768886566, Log Var: -4.014720916748047
Mean: -0.03871569782495499, Log Var: -4.027467250823975
Mean: -0.09907270222902298, Log Var: -4.03426456451416
Mean: -0.10498102009296417, Log Var: -3.9754409790039062
Mean: -0.08809460699558258, Log Var: -3.9662961959838867
Mean: -0.05782131105661392, Log Var: -3.9916930198669434
Mean: -0.050888340920209885, Log Var: -3.998441457748413
Mean: -0.10793754458427429, Log Var: -3.9444780349731445
Mean: 0.09054344147443771, Log Var: -4.0498948097229
Mean: 0.10061207413673401, Log Var: -4.078977584838867
Mean: 0.04028499871492386, Log Var: -4.013105869293213
Mean: 0.03001592494547367, Log Var: -4.022599220275879
Mean: 0.0951588824391365, Log Var: -4.084323406219482
Mean: -0.09007991850376129, Log Var: -4.032707214355469
Mean: -0.14176227152347565, Log Var: -4.009941101074219
Mean: -0.058690350502729416, Log Var: -3.9854469299316406
Mean: 0.010119290091097355, Log Var: -4.0129618644714355
Mean: -0.2733638286590576, Log Var: -4.068940162658691
Mean: -0.17115479707717896, Log Var: -4.188705921173096
Mean: 0.07706478238105774, Log Var: -4.15898323059082
Mean: 0.10063329339027405, Log Var: -4.028881549835205
Mean: -0.030470075085759163, Log Var: -4.117869853973389
Mean: 0.08280131220817566, Log Var: -4.07344388961792
Mean: 0.07752202451229095, Log Var: -3.9914097785949707
Mean: 0.13054919242858887, Log Var: -3.960472583770752
Mean: 0.2709876298904419, Log Var: -4.196178436279297
Mean: -0.19309978187084198, Log Var: -4.020809173583984
Mean: -0.013991909101605415, Log Var: -3.992135524749756
Mean: 0.044148121029138565, Log Var: -4.018404960632324
Mean: 0.08497922867536545, Log Var: -4.005149841308594
Mean: 0.17905963957309723, Log Var: -4.1062211990356445
Mean: 0.012614519335329533, Log Var: -4.021412372589111
Mean: 0.21298246085643768, Log Var: -3.987337589263916
Mean: 0.15156958997249603, Log Var: -4.05064058303833
Mean: -0.10770053416490555, Log Var: -3.972752571105957
Mean: 0.05722588300704956, Log Var: -4.118689060211182
Mean: 0.17111781239509583, Log Var: -4.170087814331055
Mean: 0.10764193534851074, Log Var: -4.158203601837158
Mean: 0.005665340460836887, Log Var: -4.100470066070557
Mean: 0.1504674255847931, Log Var: -4.070873260498047
Mean: 0.2507309913635254, Log Var: -4.1287055015563965
Mean: 0.1726306825876236, Log Var: -4.08984375
Mean: 0.01974428817629814, Log Var: -4.1180596351623535
Mean: -0.09048446267843246, Log Var: -4.040220737457275
Mean: 0.011102523654699326, Log Var: -3.983793020248413
Mean: 0.0009072303655557334, Log Var: -3.9862022399902344
Mean: 0.13033738732337952, Log Var: -4.078683853149414
Mean: 0.2851133644580841, Log Var: -4.107474327087402
Mean: 0.039997585117816925, Log Var: -4.1790971755981445
Mean: -0.00879409909248352, Log Var: -4.15914249420166
Mean: 0.26291415095329285, Log Var: -4.158726215362549
Mean: -0.044768501073122025, Log Var: -4.013301372528076
Mean: -0.03139304742217064, Log Var: -3.992314577102661
Mean: 0.1136753261089325, Log Var: -4.0789103507995605
Mean: 0.2614067494869232, Log Var: -4.002531051635742
Mean: 0.28108394145965576, Log Var: -4.059239864349365
Mean: 0.06294538825750351, Log Var: -3.880443572998047
Mean: 0.16389846801757812, Log Var: -4.04600715637207
Training with latent size: 16
Mean: -0.013679313473403454, Log Var: -2.3528196811676025
Mean: 0.007472713477909565, Log Var: -2.3416736125946045
Mean: 0.006309999618679285, Log Var: -2.3339555263519287
Mean: 0.004516751039773226, Log Var: -2.298255681991577
Mean: 0.030093826353549957, Log Var: -2.3735570907592773
Mean: 0.016415884718298912, Log Var: -2.4094178676605225
Mean: 0.013820972293615341, Log Var: -2.382880687713623
Mean: -0.011766409501433372, Log Var: -2.3501791954040527
Mean: 0.046134546399116516, Log Var: -2.395249366760254
Mean: 0.027519963681697845, Log Var: -2.325563669204712
Mean: 0.007892459630966187, Log Var: -2.3384902477264404
Mean: -0.007189507130533457, Log Var: -2.368377923965454
Mean: 0.02374163828790188, Log Var: -2.3485167026519775
Mean: -0.03261062130331993, Log Var: -2.326941728591919
Mean: -0.026413969695568085, Log Var: -2.385065793991089
Mean: 0.04008987173438072, Log Var: -2.3768179416656494
Mean: 0.02961132489144802, Log Var: -2.3587427139282227
Mean: -0.030218059197068214, Log Var: -2.333728551864624
Mean: -0.02260461263358593, Log Var: -2.3441221714019775
Mean: -0.014765690080821514, Log Var: -2.34659481048584
Mean: -0.007971909828484058, Log Var: -2.359156370162964
Mean: 0.017476744949817657, Log Var: -2.3875651359558105
Mean: -0.019932543858885765, Log Var: -2.3415119647979736
Mean: -0.012483908794820309, Log Var: -2.3319969177246094
Mean: 0.00047631142660975456, Log Var: -2.326996326446533
Mean: 0.05014761909842491, Log Var: -2.3590173721313477
Mean: 0.013333256356418133, Log Var: -2.362208604812622
Mean: 0.04283330962061882, Log Var: -2.366715669631958
Mean: -0.02140665426850319, Log Var: -2.398843288421631
Mean: -0.0070508262142539024, Log Var: -2.342991352081299
Mean: 0.00830407626926899, Log Var: -2.370093584060669
Mean: 0.02528613992035389, Log Var: -2.378629684448242
Mean: -0.009349394589662552, Log Var: -2.342317581176758
Mean: -0.007369653321802616, Log Var: -2.357318878173828
Mean: 0.021147940307855606, Log Var: -2.3302066326141357
Mean: -0.02570788748562336, Log Var: -2.3860185146331787
Mean: 0.02561705745756626, Log Var: -2.320378303527832
Mean: -0.015578586608171463, Log Var: -2.361823558807373
Mean: -0.027455320581793785, Log Var: -2.430341958999634
Mean: 0.024969732388854027, Log Var: -2.371919870376587
Mean: -0.010616845451295376, Log Var: -2.318153142929077
Mean: -0.0019321298459544778, Log Var: -2.315779447555542
Mean: -0.04563348740339279, Log Var: -2.3929102420806885
Mean: 0.024603689089417458, Log Var: -2.377394676208496
Mean: 0.0004525244003161788, Log Var: -2.38071608543396
Mean: -0.00508269015699625, Log Var: -2.352027416229248
Mean: -0.012971793301403522, Log Var: -2.348170757293701
Mean: -0.009631451219320297, Log Var: -2.3534984588623047
Mean: 0.034360382705926895, Log Var: -2.367887496948242
Mean: -0.01956798881292343, Log Var: -2.3294365406036377
Mean: 0.0760902389883995, Log Var: -2.3884828090667725
Mean: 0.050797294825315475, Log Var: -2.428826093673706
Mean: 0.08266197144985199, Log Var: -2.4033925533294678
Mean: 0.0891679897904396, Log Var: -2.4084408283233643
Mean: 0.06396417319774628, Log Var: -2.4357950687408447
Mean: 0.02873159758746624, Log Var: -2.417505979537964
Mean: -0.01885339431464672, Log Var: -2.357262372970581
Mean: 0.06892164796590805, Log Var: -2.3750696182250977
Mean: 0.021369321271777153, Log Var: -2.417829751968384
Mean: -0.12651634216308594, Log Var: -2.4065277576446533
Mean: -0.06635791808366776, Log Var: -2.4688894748687744
Mean: 0.051960743963718414, Log Var: -2.4916000366210938
Mean: 0.0657464787364006, Log Var: -2.4425315856933594
Mean: 0.03770911321043968, Log Var: -2.442584991455078
Mean: 0.053074195981025696, Log Var: -2.4459712505340576
Mean: 0.0739753320813179, Log Var: -2.358781337738037
Mean: 0.06556639820337296, Log Var: -2.290894031524658
Mean: 0.058987997472286224, Log Var: -2.4720401763916016
Mean: 0.007978553883731365, Log Var: -2.3733017444610596
Mean: 0.11566460132598877, Log Var: -2.3747074604034424
Mean: 0.14227940142154694, Log Var: -2.3623156547546387
Mean: 0.11852988600730896, Log Var: -2.348026752471924
Mean: 0.08930276334285736, Log Var: -2.4043326377868652
Mean: 0.1592620313167572, Log Var: -2.4225475788116455
Mean: 0.18179309368133545, Log Var: -2.392564058303833
Mean: 0.08740825206041336, Log Var: -2.413581132888794
Mean: 0.0032359836623072624, Log Var: -2.3617148399353027
Mean: 0.06663952767848969, Log Var: -2.474491834640503
Mean: 0.01635260321199894, Log Var: -2.5264995098114014
Mean: 0.04937444254755974, Log Var: -2.4967546463012695
Mean: 0.0828506276011467, Log Var: -2.4627015590667725
Mean: 0.030051980167627335, Log Var: -2.472116708755493
Mean: 0.03399336710572243, Log Var: -2.470207691192627
Mean: 0.019655777141451836, Log Var: -2.4315953254699707
Mean: -0.01949692890048027, Log Var: -2.4554426670074463
Mean: -0.04157159850001335, Log Var: -2.410547971725464
Mean: 0.04232284426689148, Log Var: -2.4067649841308594
Mean: 0.09155811369419098, Log Var: -2.4320361614227295
Mean: 0.09203452616930008, Log Var: -2.4339587688446045
Mean: 0.1265956610441208, Log Var: -2.4282066822052
Mean: -0.011755241081118584, Log Var: -2.4635543823242188
Mean: 0.024004315957427025, Log Var: -2.466735363006592
Mean: 0.09483137726783752, Log Var: -2.4470622539520264
Mean: 0.03281588479876518, Log Var: -2.3516061305999756
Mean: 0.031645458191633224, Log Var: -2.391852617263794
Mean: 0.11472489684820175, Log Var: -2.4339535236358643
Mean: 0.10824509710073471, Log Var: -2.3537542819976807
Mean: 0.11093171685934067, Log Var: -2.408313274383545
Mean: 0.12468839436769485, Log Var: -2.2863292694091797
Mean: 0.06983666867017746, Log Var: -2.4034013748168945
Training with latent size: 32
Mean: 0.002543247304856777, Log Var: -1.1773617267608643
Mean: 0.006956217810511589, Log Var: -1.1711844205856323
Mean: 0.017036907374858856, Log Var: -1.1748430728912354
Mean: 0.03369302675127983, Log Var: -1.1522420644760132
Mean: 0.02546175941824913, Log Var: -1.187234878540039
Mean: 0.017375817522406578, Log Var: -1.1994860172271729
Mean: 0.011897752061486244, Log Var: -1.1878318786621094
Mean: 0.01665881834924221, Log Var: -1.1785781383514404
